№ П/П;node;pkt;trans;tr_s;sn
И-145;1;;;;
;1;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ИЛ-3-991П;;ТМ-10;25;
2;ИЛ-3-390;5;ТМ-10;63;16
3;ИЛ-3-333;10;ТМ-10;63;5,5
4;ИЛ-3-355;10;ТМ-10;63;5,8
5;ИЛ-3-905П;;ТМ-10;8;
6;ИЛ-3-923П;;ТМ-10;40;
7;ИЛ-3-360;10;ТМ-10;400;36,5
8;ИЛ-3-361;5;ТМ-10;160;16,2
9;ИЛ-3-906П;;ТМ-10;30;
10;ИЛ-3-366;10;ТМ-10;63;9,8
11;ИЛ-3-357П;;ТМ-10;25;4,9
12;ИЛ-3-958;;ТМ-10;25;12
13;ИЛ-3-953;;ТМ-10;63;29
ИЛ-4;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ИЛ-4-383П;;ТМ-10;2x400;
2;ИЛ-4-362П;;ТМ-10;400;
3;ИЛ-4-920П;;ТМ-10;2х1000;
ИЛ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ИЛ-5-398П;;ТМ-10;630;
2;ИЛ-4-359;75;ТМ-10;400;38
3;ИЛ-5-336;10;ТМ-10;100;4,7
4;ИЛ-5-952П;;ТМ-10;25;
5;ИЛ-5-357;15;ТМ-10;100;4,9
6;ИЛ-5-393П;;ТМ-10;160;
7;ИЛ-5-904П;;ТМ-10;40;
8;ИЛ-5-341;5;ТМ-10;30;14
ИЛ-6;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВТ
1;ИЛ-6-392П;;ТМ-10;630+560;
ИЛ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВТ
1;ИЛ-7-352;10;ТМ-10;160;76,3
2;ИЛ-7-909;;ТМ-10;250;81,9
3;ИЛ-7-338;20;ТМ-10;250;180,8
4;ИЛ-7-346;10;ТМ-10;63;31,4
5;ИЛ-7-343;10;ТМ-10;250;37,4
6;ИЛ-7-915П;;ТМ-10;25;
7;ИЛ-7-349;40;ТМ-10;400;226,6
8;ИЛ-7-902;20;ТМ-10;250;112,9
9;ИЛ-7-394;20;ТМ-10;160;144,6
10;ИЛ-7-335;10;ТМ-10;250;113,1
11;ИЛ-7-314;;ТМ-10;250;197,8
12;ИЛ-7-395;20;ТМ-10;250;206,8
13;ИЛ-7-916П;;ТМ-10;25;
14;ИЛ-7-344;10;ТМ-10;250;47
15;ИЛ-7-309;;ТМ-10;250;61,1
16;ИЛ-7-391;50;ТМ-10;400х400;
17;ИЛ-7-305;15;ТМ-10;160;141,2
18;ИЛ-7-320;10;ТМ-10;100;94,2
19;ИЛ-7-323;10;ТМ-10;250;105,3
20;ИЛ-7-303;10;ТМ-10;630;77,3
21;ИЛ-7-961;;ТМ-10;250;
22;ИЛ-7-325;16;ТМ-10;250;157
23;ИЛ-7-324;10;ТМ-10;160;83
24;ИЛ-7-326;20;ТМ-10;400;184
25;ИЛ-7-951;;ТМ-10;63;29
26;ИЛ-7-959;;ТМ-10;400;46
27;ИЛ-7-358;20;ТМ-10;100;2
28;ИЛ-7-321;;ТМ-10;25;13
29;ИЛ-7-941П;;ТМ-10;25;
30;ИЛ-7-310;10;ТМ-10;100;14,9
31;ИЛ-7-922П;;ТМ-10;40;
32;ИЛ-7-334;20;ТМ-10;250;111,6
33;ИЛ-7-351;20;ТМ-10;160;121,3
34;ИЛ-7-342;30;ТМ-10;250;94,3
35;ИЛ-7-948;;ТМ-10;250;6
36;ИЛ-7-960;;ТМ-10;100;49
37;ИЛ-7-939;;ТМ-10;63;2,7
КЖ-71;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;КЖ-71-605;20;ТМ-6;100;33,7
2;КЖ-71-606;45;ТМ-6;250;82,2
3;КЖ-71-667;70;ТМ-6;400;22,9
4;КЖ-71-640;20;ТМ-6;160;76
5;КЖ-71-608;20;ТМ-6;100;29,1
6;КЖ-71-661П;;ТМ-6;160;
7;КЖ-71-647;20;ТМ-6;100;17,8
8;КЖ-71-672П;;ТМ-6;25;
9;КЖ-71-617;10;ТМ-6;100;41
10;КЖ-71-673П;;ТМ-6;25;
11;КЖ-71-684П;;ТМ-6;25;
12;КЖ-71-676;20;ТМ-6;100;37,9
13;КЖ-71-610;20;ТМ-6;100;62,9
14;КЖ-71-671П;;ТМ-6;25;
15;КЖ-71-615;20;ТМ-6;160;0,8
16;КЖ-71-648;45;ТМ-6;250;121
17;КЖ-71-645;30;ТМ-6;100;35,4
18;КЖ-71-609;20;ТМ-6;180;40,2
19;КЖ-71-607;70;ТМ-6;160;0,3
КЖ-74;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;КЖ-74-601;45;ТМ-6;250;122
2;КЖ-74-641П;;ТМ-6;100;
ПК-10/20;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;КС-7-504;8;ТМ-10;30;29,5
2;КС-7-576;32;ТМ-10;250;146,4
КС-11;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;КС-11-542;16;ТМ-10;100;17,6
2;КС-11-704П;;ТМ-10;63;
3;КС-11-578;31;ТМ-10;160;29,5
4;КС-11-572П;;ТМ-10;315+400;
5;КС-11-519;20;ТМ-10;160;16,2
6;КС-11-570;50;ТМ-10;400;191
7;КС-11-571;16;ТМ-10;100;49
8;КС-11-558;20;ТМ-10;100;11,2
9;КС-11-762;10;ТМ-10;40;22
ЛВ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-1-240;5;ТМ-10;40;2,7
2;ЛВ-1-267;10;ТМ-10;63;5,9
3;ЛВ-1-241;10;ТМ-10;63;12,9
4;ЛВ-1-254П;;ТМ-10;63;
5;ЛВ-1-253;16;ТМ-10;100;
6;ЛВ-1-249;25;ТМ-10;160;120,4
7;ЛВ-1-252;16;ТМ-10;100;27,7
8;ЛВ-1-287П;;ТМ-10;25;
9;ЛВ-1-250;20;ТМ-10;250;132,6
10;ЛВ-1-244;30;ТМ-10;160;51,3
11;ЛВ-1-245;20;ТМ-10;160;63,5
12;ЛВ-1-248;10;ТМ-10;63;263
13;ЛВ-1-247;75;ТМ-10;100;0
14;ЛВ-1-230П;;ТМ-10;400;
15;ЛВ-1-216П;;ТМ-10;400;
16;ЛВ-1-242П;;ТМ-10;160;
17;ЛВ-1-246;16;ТМ-10;100;34,9
ЛВ-2;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-2-231;80;ТМ-10;630;201
2;ЛВ-2-207;20;ТМ-10;160;89
3;ЛВ-2-208;16;ТМ-10;160;46
4;ЛВ-2-225;25;ТМ-10;160;22,7
5;ЛВ-2-268;10;ТМ-10;63;35,1
6;ЛВ-2-209;16;ТМ-10;160;91,2
7;ЛВ-2-227;30;ТМ-10;250;133,5
8;ЛВ-2-228П;25;ТМ-10;250;
9;ЛВ-2-222;25;ТМ-10;160;73,9
10;ЛВ-2-212;50;ТМ-10;400;137,8
11;ЛВ-2-210;31;ТМ-10;160;92,6
12;ЛВ-2-232;16;ТМ-10;100;32
ЛВ-3;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-3-201;80;ТМ-10;630;105
2;ЛВ-3-206;80;ТМ-10;630;352
3;ЛВ-3-229;40;ТМ-10;630;259,4
4;ЛВ-3-202;40;ТМ-10;250;17,5
5;ЛВ-3-203;20;ТМ-10;100;8,8
6;ЛВ-3-204;20;ТМ-10;100;8,9
ЛВ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-5-178;16;ТМ-10;100;45,1
2;ЛВ-5-205П;40;ТМ-10;250;
3;ЛВ-5-215П;31,5А;ТМ-10;400;
4;ЛВ-5-152;10;ТМ-10;63;
5;ЛВ-5-211;15;ТМ-10;63;16
6;ЛВ-5-153;25;ТМ-10;160;
7;ЛВ-5-212;40;ТМ-10;250;
8;ЛВ-5-280П;;ТМ-10;160;
9;ЛВ-5-218;30;ТМ-10;63;6
10;ЛВ-5-223П;;ТМ-10;63;
11;ЛВ-5-219П;;ТМ-10;100;
12;ЛВ-5-217П;;ТМ-10;400;
13;ЛВ-5-221;10;ТМ-10;250;80,2
14;ЛВ-5-214П;;ТМ-10;40;
15;ЛВ-5-154;40;ТМ-10;400;
16;ЛВ-5-151;16;ТМ-10;100;
17;ЛВ-5-220;20;ТМ-10;160;37
ЛВ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-7-260;20;ТМ-10;160;36,8
2;ЛВ-7-277П;40;ТМ-10;250;
3;ЛВ-7-261П;;ТМ-10;400;
ЛВ-9;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ЛВ-9-278П;;ТМ-10;160;
2;ЛВ-9-276;50;ТМ-10;400;184,8
МГ-3;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;МГ-3-388П;;ТМ-6;250;
2;МГ-3-385;31,5;ТМ-6;160;55
3;МГ-3-340;10;ТМ-6;40;6,8
4;МГ-3-384;20;ТМ-6;250;59,1
5;МГ-3-380;20;ТМ-6;100;16,8
6;МГ-3-327П;;ТМ-6;10;
7;МГ-3-956П;;ТМ-6;160;
8;МГ-3-382П;;ТМ-6;100;
9;МГ-3-907П;;ТМ-6;25;
МХ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;МХ-1-164;60;ТМ-10;400;69,2
2;МХ-1-162;5;ТМ-10;160;43,5
3;МХ-1-161;16;ТМ-10;160;72,4
4;МХ-1-156;30;ТМ-10;160;68,4
5;МХ-1-157;10;ТМ-10;100;44,7
6;МХ-1-158;15;ТМ-10;100;4,3
7;МХ-1-160;40;ТМ-10;250;120
МХ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;МХ-5-165;25;ТМ-10;160;44,8
2;МХ-5-166;6;ТМ-10;100;56
3;МХ-5-174;40;ТМ-10;250;104,2
4;МХ-5-169;10;ТМ-10;100;45
5;МХ-5-179П;10;ТМ-10;63;
6;МХ-5-175;10;ТМ-10;63;10,4
МХ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;МХ-7-159П;;ТМ-10;63;
2;МХ-7-171П;;ТМ-10;160;
3;МХ-7-172;15;ТМ-10;160;35,8
4;МХ-7-155;16;ТМ-10;100;32,6
5;МХ-7-173;30;ТМ-10;250;93,4
НД-66;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НД-66-621;50;ТМ-6;400;112,9
2;НД-66-618;90;ТМ-6;250;129,7
3;НД-66-624;45;ТМ-6;250;99,1
4;НД-66-693П;;ТМ-6;25;
5;НД-66-646;50;ТМ-6;400;258,4
6;НД-66-625;30;ТМ-6;250;103,1
7;НД-66-686П;;ТМ-6;25;
8;НД-66-664П;;ТМ-6;25;
9;НД-66-653П;;ТМ-6;160;
10;НД-66-635;20;ТМ-6;250;62,8
11;НД-66-639;20;ТМ-6;160;95,3
12;НД-66-627;20;ТМ-6;400;129,4
13;НД-66-694П;;ТМ-6;25;
14;НД-66-682;31,5;ТМ-6;100;26
15;НД-66-630;90;ТМ-6;630;173,4
16;НД-66-631;30;ТМ-6;100;10,3
17;НД-66-622;20;ТМ-6;250;101,9
18;НД-66-628;20;ТМ-6;160;76
19;НД-66-638;50;ТМ-6;400;38,7
20;НД-66-629;5;ТМ-6;63;19
21;НД-66-662П;;ТМ-6;100;
22;НД-66-614;10;ТМ-6;63;11,8
23;НД-66-623;12,5;ТМ-6;250;67,4
24;НД-66-1080;2;ТМ-6;40;19
НД-67;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НД-67-669П;;ТМ-6;25;
2;НД-67-663;30;ТМ-6;160;83
3;НД-67-692П;;ТМ-6;63;
4;НД-67-626;20;ТМ-6;160;42
5;НД-67-681;20;ТМ-6;160;41,4
6;НД-67-1083П;;ТМ-6;250;
7;НД-67-658П;;ТМ-6;400;
8;НД-67-685П;;ТМ-6;63;
9;НД-67-670П;;ТМ-6;75;
10;НД-67-655П;;ТМ-6;75;
11;НД-67-689П;;ТМ-6;400;
12;НД-67-611;12;ТМ-6;100;42
13;НД-67-660;45;ТМ-6;400;132,1
14;НД-67-636П;;ТМ-6;2х400;
15;НД-67-652;20;ТМ-6;250;125
16;НД-67-632;20;ТМ-6;160;77
17;НД-67-631;16;ТМ-6;160;
18;НД-67-657;12;ТМ-6;63;46,2
19;НД-67-644;20;ТМ-6;100;45
20;НД-67-604;15;ТМ-6;160;80,1
21;НД-67-634;30;ТМ-6;160;73
22;НД-67-603П;;ТМ-6;560;
23;НД-67-600;20;ТМ-6;25;14
24;НД-67-633;12;ТМ-6;160;76
25;НД-67-696П;;ТМ-6;10;
26;НД-67-697П;;ТМ-6;25;
27;НД-67-668П;;ТМ-6;63;
28;НД-67-649П;;ТМ-6;2х160;
29;НД-67-619;40;ТМ-6;100;48
НД-68;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НД-68-650П;;ТМ-6;250;
2;НД-68-654П;;ТМ-6;25;
3;НД-68-656П;;ТМ-6;25;
4;НД-68-698П;;ТМ-6;25;
5;НД-68-666П;;ТМ-6;63;
6;НД-68-695П;;ТМ-6;1000;
7;НД-68-680П;;ТМ-6;400;
8;НД-68-613;12;ТМ-6;160;28,4
9;НД-68-687П;;ТМ-6;63;
10;НД-68-616;50;ТМ-6;250;23,1
11;НД-68-620;10;ТМ-6;100;4,1
12;НД-68-651П;;ТМ-6;63;
НИ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НИ-5-263;10;ТМ-10;63;26
2;НИ-5-275;10;ТМ-10;63;24,9
3;НИ-5-264;15;ТМ-10;63;0,3
4;НИ-5-285П;;ТМ-10;63;
5;НИ-5-266П;;ТМ-10;400;
НИ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НИ-7-262;16;ТМ-10;63;24,6
2;НИ-7-265;31;ТМ-10;160;47,9
3;НИ-7-243;16;ТМ-10;63;16,7
НИ-9;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НИ-9-213;3;ТМ-10;30;13
2;НИ-9-271П;;ТМ-10;63;
3;НИ-9-272;5;ТМ-10;40;8,4
4;НИ-9-276;50;ТМ-10;400;
5;НИ-9-283П;;ТМ-10;25;
6;НИ-9-281П;;ТМ-10;63;
7;НИ-9-273П;;ТМ-10;250;
8;НИ-9-279П;;ТМ-10;63;
9;НИ-9-282П;;ТМ-10;25;
10;НИ-9-269;10;ТМ-10;63;13,9
11;НИ-9-270;5;ТМ-10;63;1,1
НС-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;НС-1-734П;;ТМ-10;1000;
2;НС-1-562;16;ТМ-10;100;40,9
3;НС-1-762;16;ТМ-10;100;
4;НС-1-764П;;ТМ-10;630;
5;НС-1-509;30;ТМ-10;250;31,1
6;НС-1-574;16;ТМ-10;100;9,6
7;НС-1-766;30;ТМ-10;160;79
8;НС-1-502;32;ТМ-10;250;92,7
9;НС-1-505;30;ТМ-10;250;91,9
